date,county,county_fips,samples,m50,m50_index,avg_miles_traveled,pct_change
2020-03-01,Baker,41001,165,0.932,53,0.579241765071473,-0.47
2020-03-02,Baker,41001,179,1.412,81,0.877563704164077,-0.19
2020-03-03,Baker,41001,173,1.2109999999999999,69,0.752641392169049,-0.31
2020-03-04,Baker,41001,208,1.7369999999999999,100,1.0795525170913611,0.0
2020-03-05,Baker,41001,196,2.001,115,1.2436295835922933,0.15
2020-03-06,Baker,41001,223,1.8219999999999998,104,1.132380360472343,0.04
2020-03-07,Baker,41001,226,1.666,95,1.0354257302672467,-0.05
2020-03-08,Baker,41001,204,1.28,73,0.795525170913611,-0.27
2020-03-09,Baker,41001,187,1.475,84,0.9167184586699815,-0.16
2020-03-10,Baker,41001,203,1.6280000000000001,93,1.011808576755749,-0.07
2020-03-11,Baker,41001,191,1.551,89,0.9639527656929769,-0.11
2020-03-12,Baker,41001,183,1.8,103,1.1187072715972655,0.03
2020-03-13,Baker,41001,180,1.95,112,1.2119328775637042,0.12
2020-03-14,Baker,41001,172,1.885,108,1.1715351149782474,0.08
2020-03-15,Baker,41001,170,0.381,21,0.2367930391547545,-0.79
2020-03-16,Baker,41001,165,1.508,86,0.9372280919825979,-0.14
2020-03-17,Baker,41001,197,1.2670000000000001,72,0.7874456183965196,-0.28
2020-03-18,Baker,41001,187,1.22,70,0.7582349285270354,-0.3
2020-03-19,Baker,41001,183,1.645,94,1.0223741454319453,-0.06
2020-03-20,Baker,41001,189,1.506,86,0.9359850839030454,-0.14
2020-03-21,Baker,41001,164,0.738,42,0.4586699813548788,-0.58
2020-03-22,Baker,41001,173,0.083,4,0.05158483530142946,-0.96
2020-03-23,Baker,41001,186,1.2919999999999998,74,0.802983219390926,-0.26
2020-03-24,Baker,41001,204,1.619,93,1.0062150403977626,-0.07
2020-03-25,Baker,41001,186,0.7829999999999999,45,0.4866376631448104,-0.55
2020-03-26,Baker,41001,201,1.0659999999999998,61,0.6625233064014915,-0.39
2020-03-27,Baker,41001,205,1.015,58,0.6308266003729024,-0.42
2020-03-28,Baker,41001,190,0.42200000000000004,24,0.2622747047855811,-0.76
2020-03-29,Baker,41001,196,0.048,2,0.02983219390926041,-0.98
2020-03-30,Baker,41001,195,0.899,51,0.5587321317588565,-0.49
2020-03-31,Baker,41001,218,0.9890000000000001,56,0.6146674953387198,-0.44
2020-04-01,Baker,41001,202,1.18,67,0.733374766935985,-0.33
2020-04-02,Baker,41001,198,1.39,80,0.8638906152889994,-0.2
2020-04-03,Baker,41001,187,1.3130000000000002,75,0.8160348042262275,-0.25
2020-04-04,Baker,41001,173,0.38,21,0.23617153511497826,-0.79
2020-04-05,Baker,41001,211,0.48100000000000004,27,0.29894344313238036,-0.73
2020-04-06,Baker,41001,189,0.49700000000000005,28,0.30888750776880053,-0.72
2020-04-07,Baker,41001,188,1.58,90,0.9819763828464886,-0.1
2020-04-08,Baker,41001,186,1.389,79,0.8632691112492231,-0.21
2020-04-09,Baker,41001,189,1.17,67,0.7271597265382225,-0.33
2020-04-10,Baker,41001,183,1.607,92,0.9987569919204475,-0.08
2020-04-11,Baker,41001,196,0.6709999999999999,38,0.4170292106898694,-0.62
2020-04-12,Baker,41001,191,0.067,3,0.041640770665009326,-0.97
2020-04-13,Baker,41001,187,0.7140000000000001,41,0.44375388440024865,-0.59
2020-04-14,Baker,41001,197,1.318,75,0.8191423244251088,-0.25
2020-04-15,Baker,41001,195,1.022,58,0.6351771286513362,-0.42
2020-04-16,Baker,41001,197,1.209,69,0.7513983840894967,-0.31
2020-04-17,Baker,41001,193,1.092,62,0.6786824114356744,-0.38
2020-04-18,Baker,41001,180,1.251,72,0.7775015537600993,-0.28
2020-04-19,Baker,41001,183,0.9740000000000001,56,0.6053449347420758,-0.44
2020-04-21,Baker,41001,252,1.421,81,0.8831572405220635,-0.19
2020-04-22,Baker,41001,246,1.062,61,0.6600372902423867,-0.39
2020-04-23,Baker,41001,268,1.1079999999999999,63,0.6886264760720944,-0.37
2020-04-24,Baker,41001,247,0.943,54,0.5860783095090117,-0.46
2020-04-25,Baker,41001,236,0.41100000000000003,23,0.2554381603480423,-0.77
2020-04-26,Baker,41001,227,0.505,29,0.31385954008701056,-0.71
2020-04-27,Baker,41001,228,0.875,50,0.5438160348042262,-0.5
2020-04-28,Baker,41001,267,1.574,90,0.978247358607831,-0.1
2020-04-29,Baker,41001,259,0.8,46,0.49720323182100684,-0.54
2020-04-30,Baker,41001,395,1.4140000000000001,81,0.8788067122436297,-0.19
2020-05-01,Baker,41001,355,1.9340000000000002,111,1.2019888129272842,0.11
2020-05-02,Baker,41001,387,1.6840000000000002,96,1.0466128029832196,-0.04
2020-05-03,Baker,41001,395,1.1840000000000002,68,0.7358607830950902,-0.32
2020-05-04,Baker,41001,269,1.4609999999999999,84,0.9080174021131137,-0.16
2020-05-05,Baker,41001,247,1.807,104,1.1230577998756992,0.04
2020-05-06,Baker,41001,276,1.494,86,0.9285270354257302,-0.14
2020-05-07,Baker,41001,259,1.442,83,0.8962088253573648,-0.17
2020-05-08,Baker,41001,261,1.5130000000000001,87,0.9403356121814793,-0.13
2020-05-09,Baker,41001,267,1.7309999999999999,99,1.0758234928527035,-0.01
2020-05-10,Baker,41001,245,1.308,75,0.8129272840273463,-0.25
2020-05-11,Baker,41001,253,1.4140000000000001,81,0.8788067122436297,-0.19
2020-05-12,Baker,41001,275,1.879,108,1.1678060907395897,0.08
2020-05-13,Baker,41001,207,1.405,80,0.8732131758856433,-0.2
2020-05-14,Baker,41001,234,1.2919999999999998,74,0.802983219390926,-0.26
2020-05-15,Baker,41001,382,2.448,140,1.521441889372281,0.4
2020-05-16,Baker,41001,381,2.113,121,1.3132380360472342,0.21
2020-05-17,Baker,41001,401,1.325,76,0.8234928527035426,-0.24
2020-05-18,Baker,41001,375,1.291,74,0.8023617153511498,-0.26
2020-05-19,Baker,41001,382,1.956,112,1.2156619018023618,0.12
2020-05-20,Baker,41001,377,1.521,87,0.9453076444996892,-0.13
2020-05-21,Baker,41001,422,1.518,87,0.9434431323803605,-0.13
2020-05-22,Baker,41001,451,2.083,119,1.2945929148539468,0.19
2020-05-23,Baker,41001,434,2.082,119,1.2939714108141702,0.19
2020-03-01,Benton,41003,1034,2.019,66,1.254816656308266,-0.34
2020-03-02,Benton,41003,1066,2.7260000000000004,89,1.694220012430081,-0.11
2020-03-03,Benton,41003,1100,3.031,100,1.8837787445618397,0.0
2020-03-04,Benton,41003,1154,2.917,96,1.812927284027346,-0.04
2020-03-05,Benton,41003,1097,3.05,100,1.8955873213175884,0.0
2020-03-06,Benton,41003,1038,3.6519999999999997,120,2.269732753262896,0.2
2020-03-07,Benton,41003,1038,2.991,98,1.8589185829707895,-0.02
2020-03-08,Benton,41003,1013,1.306,43,0.8116842759477937,-0.57
2020-03-09,Benton,41003,1091,2.77,91,1.7215661901802362,-0.09
2020-03-10,Benton,41003,1096,2.838,93,1.7638284648850218,-0.07
2020-03-11,Benton,41003,1107,3.2230000000000003,106,2.0031075201988817,0.06
2020-03-12,Benton,41003,1073,3.031,100,1.8837787445618397,0.0
