date,county,county_fips,samples,m50,m50_index
2020-03-01,Baker,41001,165,0.932,53
2020-03-02,Baker,41001,179,1.412,81
2020-03-03,Baker,41001,173,1.2109999999999999,69
2020-03-04,Baker,41001,208,1.7369999999999999,100
2020-03-05,Baker,41001,196,2.001,115
2020-03-06,Baker,41001,223,1.8219999999999998,104
2020-03-07,Baker,41001,226,1.666,95
2020-03-08,Baker,41001,204,1.28,73
2020-03-09,Baker,41001,187,1.475,84
2020-03-10,Baker,41001,203,1.6280000000000001,93
2020-03-11,Baker,41001,191,1.551,89
2020-03-12,Baker,41001,183,1.8,103
2020-03-13,Baker,41001,180,1.95,112
2020-03-14,Baker,41001,172,1.885,108
2020-03-15,Baker,41001,170,0.381,21
2020-03-16,Baker,41001,165,1.508,86
2020-03-17,Baker,41001,197,1.2670000000000001,72
2020-03-18,Baker,41001,187,1.22,70
2020-03-19,Baker,41001,183,1.645,94
2020-03-20,Baker,41001,189,1.506,86
2020-03-21,Baker,41001,164,0.738,42
2020-03-22,Baker,41001,173,0.083,4
2020-03-23,Baker,41001,186,1.2919999999999998,74
2020-03-24,Baker,41001,204,1.619,93
2020-03-25,Baker,41001,186,0.7829999999999999,45
2020-03-26,Baker,41001,201,1.0659999999999998,61
2020-03-27,Baker,41001,205,1.015,58
2020-03-28,Baker,41001,190,0.42200000000000004,24
2020-03-29,Baker,41001,196,0.048,2
2020-03-30,Baker,41001,195,0.899,51
2020-03-31,Baker,41001,218,0.9890000000000001,56
2020-04-01,Baker,41001,202,1.18,67
2020-04-02,Baker,41001,198,1.39,80
2020-04-03,Baker,41001,187,1.3130000000000002,75
2020-04-04,Baker,41001,173,0.38,21
2020-04-05,Baker,41001,211,0.48100000000000004,27
2020-04-06,Baker,41001,189,0.49700000000000005,28
2020-04-07,Baker,41001,188,1.58,90
2020-04-08,Baker,41001,186,1.389,79
2020-04-09,Baker,41001,189,1.17,67
2020-04-10,Baker,41001,183,1.607,92
