county_fips,county,date,cases,deaths,2019pop,tests_neg,tests_pos,tests_total,cases_per_100k,deaths_per_100k,tests_per_100k
41001,Baker,2020-05-10,5.0,0.0,16124.0,,,,31.01,0.0,
41001,Baker,2020-05-17,9.0,0.0,16124.0,,,,55.82,0.0,
41001,Baker,2020-05-24,7.0,0.0,16124.0,,,,43.41,0.0,
41003,Benton,2020-03-22,14.0,0.0,93053.0,,,,15.05,0.0,
41003,Benton,2020-03-29,44.0,0.0,93053.0,,,,47.28,0.0,
41003,Benton,2020-04-05,105.0,6.0,93053.0,,,,112.84,6.45,
41003,Benton,2020-04-12,150.0,11.0,93053.0,,,,161.2,11.82,
41003,Benton,2020-04-19,180.0,25.0,93053.0,,,,193.44,26.87,
41003,Benton,2020-04-26,193.0,35.0,93053.0,,,,207.41,37.61,
41003,Benton,2020-05-03,213.0,35.0,93053.0,,,,228.9,37.61,
41003,Benton,2020-05-10,293.0,35.0,93053.0,,,,314.87,37.61,
41003,Benton,2020-05-17,352.0,35.0,93053.0,,,,378.28,37.61,
41003,Benton,2020-05-24,383.0,35.0,93053.0,,,,411.59,37.61,
41005,Clackamas,2020-03-15,4.0,0.0,418187.0,516.0,20.0,536.0,0.96,0.0,128.17
41005,Clackamas,2020-03-22,53.0,0.0,418187.0,628.0,29.0,657.0,12.67,0.0,157.11
41005,Clackamas,2020-03-29,179.0,11.0,418187.0,846.0,49.0,895.0,42.8,2.63,214.02
41005,Clackamas,2020-04-05,435.0,21.0,418187.0,807.0,50.0,857.0,104.02,5.02,204.93
41005,Clackamas,2020-04-12,761.0,21.0,418187.0,906.0,64.0,970.0,181.98,5.02,231.95
41005,Clackamas,2020-04-19,1027.0,26.0,418187.0,1184.0,69.0,1253.0,245.58,6.22,299.63
41005,Clackamas,2020-04-26,1319.0,39.0,418187.0,1472.0,58.0,1530.0,315.41,9.33,365.87
41005,Clackamas,2020-05-03,1500.0,48.0,418187.0,1551.0,58.0,1609.0,358.69,11.48,384.76
41005,Clackamas,2020-05-10,1705.0,55.0,418187.0,1700.0,34.0,1734.0,407.71,13.15,414.65
