date,county,state,county_fips,cases,deaths,weekday,2019pop,tests_neg,tests_pos,tests_total,cases_per_100k,deaths_per_100k,tests_per_100k
2020-03-01,Washington,Oregon,41067,2.0,0.0,6.0,601592.0,20.0,8.0,28.0,0.33,0.0,4.65
2020-03-08,Douglas,Oregon,41019,1.0,0.0,6.0,110980.0,,,,0.9,0.0,
2020-03-08,Jackson,Oregon,41029,2.0,0.0,6.0,220944.0,,,,0.91,0.0,
2020-03-08,Klamath,Oregon,41035,1.0,0.0,6.0,68238.0,,,,1.47,0.0,
2020-03-08,Marion,Oregon,41047,1.0,0.0,6.0,347818.0,,,,0.29,0.0,
2020-03-08,Washington,Oregon,41067,8.0,0.0,6.0,601592.0,170.0,9.0,179.0,1.33,0.0,29.75
2020-03-15,Clackamas,Oregon,41005,1.0,0.0,6.0,418187.0,516.0,20.0,536.0,0.24,0.0,128.17
2020-03-15,Deschutes,Oregon,41017,4.0,0.0,6.0,197692.0,,,,2.02,0.0,
2020-03-15,Douglas,Oregon,41019,1.0,0.0,6.0,110980.0,,,,0.9,0.0,
2020-03-15,Jackson,Oregon,41029,2.0,0.0,6.0,220944.0,,,,0.91,0.0,
2020-03-15,Klamath,Oregon,41035,1.0,0.0,6.0,68238.0,,,,1.47,0.0,
2020-03-15,Linn,Oregon,41043,10.0,0.0,6.0,129749.0,,,,7.71,0.0,
2020-03-15,Marion,Oregon,41047,2.0,0.0,6.0,347818.0,,,,0.58,0.0,
2020-03-15,Multnomah,Oregon,41051,1.0,1.0,6.0,812855.0,1730.0,41.0,1771.0,0.12,0.12,217.87
2020-03-15,Polk,Oregon,41053,1.0,0.0,6.0,86085.0,,,,1.16,0.0,
2020-03-15,Umatilla,Oregon,41059,2.0,0.0,6.0,77950.0,,,,2.57,0.0,
2020-03-15,Washington,Oregon,41067,13.0,0.0,6.0,601592.0,697.0,64.0,761.0,2.16,0.0,126.5
2020-03-15,Yamhill,Oregon,41071,1.0,0.0,6.0,107100.0,183.0,5.0,188.0,0.93,0.0,175.54
2020-03-22,Benton,Oregon,41003,4.0,0.0,6.0,93053.0,,,,4.3,0.0,
2020-03-22,Clackamas,Oregon,41005,12.0,0.0,6.0,418187.0,628.0,29.0,657.0,2.87,0.0,157.11
2020-03-22,Deschutes,Oregon,41017,10.0,0.0,6.0,197692.0,,,,5.06,0.0,
2020-03-22,Douglas,Oregon,41019,1.0,0.0,6.0,110980.0,,,,0.9,0.0,
2020-03-22,Grant,Oregon,41023,1.0,0.0,6.0,7199.0,,,,13.89,0.0,
2020-03-22,Jackson,Oregon,41029,2.0,0.0,6.0,220944.0,,,,0.91,0.0,
2020-03-22,Josephine,Oregon,41033,1.0,0.0,6.0,87487.0,,,,1.14,0.0,
2020-03-22,Klamath,Oregon,41035,1.0,0.0,6.0,68238.0,,,,1.47,0.0,
2020-03-22,Lane,Oregon,41039,4.0,1.0,6.0,382067.0,,,,1.05,0.26,
2020-03-22,Linn,Oregon,41043,19.0,1.0,6.0,129749.0,,,,14.64,0.77,
2020-03-22,Marion,Oregon,41047,22.0,1.0,6.0,347818.0,,,,6.33,0.29,
2020-03-22,Multnomah,Oregon,41051,19.0,1.0,6.0,812855.0,1608.0,95.0,1703.0,2.34,0.12,209.51
2020-03-22,Polk,Oregon,41053,1.0,0.0,6.0,86085.0,,,,1.16,0.0,
2020-03-22,Umatilla,Oregon,41059,2.0,0.0,6.0,77950.0,,,,2.57,0.0,
2020-03-22,Union,Oregon,41061,1.0,0.0,6.0,26835.0,,,,3.73,0.0,
2020-03-22,Washington,Oregon,41067,55.0,1.0,6.0,601592.0,933.0,90.0,1023.0,9.14,0.17,170.05
2020-03-22,Yamhill,Oregon,41071,6.0,0.0,6.0,107100.0,195.0,10.0,205.0,5.6,0.0,191.41
2020-03-29,Benton,Oregon,41003,9.0,0.0,6.0,93053.0,,,,9.67,0.0,
2020-03-29,Clackamas,Oregon,41005,39.0,2.0,6.0,418187.0,846.0,49.0,895.0,9.33,0.48,214.02
2020-03-29,Clatsop,Oregon,41007,3.0,0.0,6.0,40224.0,,,,7.46,0.0,
2020-03-29,Columbia,Oregon,41009,1.0,0.0,6.0,52354.0,,,,1.91,0.0,
2020-03-29,Deschutes,Oregon,41017,23.0,0.0,6.0,197692.0,,,,11.63,0.0,
2020-03-29,Douglas,Oregon,41019,4.0,0.0,6.0,110980.0,,,,3.6,0.0,
2020-03-29,Grant,Oregon,41023,1.0,0.0,6.0,7199.0,,,,13.89,0.0,
2020-03-29,Hood River,Oregon,41027,2.0,0.0,6.0,23382.0,,,,8.55,0.0,
2020-03-29,Jackson,Oregon,41029,19.0,0.0,6.0,220944.0,,,,8.6,0.0,
2020-03-29,Josephine,Oregon,41033,6.0,0.0,6.0,87487.0,,,,6.86,0.0,
2020-03-29,Klamath,Oregon,41035,4.0,0.0,6.0,68238.0,,,,5.86,0.0,
2020-03-29,Lane,Oregon,41039,10.0,1.0,6.0,382067.0,,,,2.62,0.26,
2020-03-29,Lincoln,Oregon,41041,1.0,0.0,6.0,49962.0,,,,2.0,0.0,
2020-03-29,Linn,Oregon,41043,36.0,1.0,6.0,129749.0,,,,27.75,0.77,
2020-03-29,Marion,Oregon,41047,109.0,3.0,6.0,347818.0,,,,31.34,0.86,
2020-03-29,Morrow,Oregon,41049,1.0,0.0,6.0,11603.0,,,,8.62,0.0,
2020-03-29,Multnomah,Oregon,41051,91.0,2.0,6.0,812855.0,1877.0,157.0,2034.0,11.2,0.25,250.23
2020-03-29,Polk,Oregon,41053,13.0,0.0,6.0,86085.0,,,,15.1,0.0,
2020-03-29,Tillamook,Oregon,41057,2.0,0.0,6.0,27036.0,,,,7.4,0.0,
2020-03-29,Umatilla,Oregon,41059,4.0,0.0,6.0,77950.0,,,,5.13,0.0,
2020-03-29,Union,Oregon,41061,1.0,0.0,6.0,26835.0,,,,3.73,0.0,
2020-03-29,Wasco,Oregon,41065,3.0,0.0,6.0,26682.0,,,,11.24,0.0,
2020-03-29,Washington,Oregon,41067,154.0,3.0,6.0,601592.0,1292.0,113.0,1405.0,25.6,0.5,233.55
2020-03-29,Yamhill,Oregon,41071,13.0,1.0,6.0,107100.0,233.0,15.0,248.0,12.14,0.93,231.56
2020-04-05,Benton,Oregon,41003,19.0,1.0,6.0,93053.0,,,,20.42,1.07,
2020-04-05,Clackamas,Oregon,41005,84.0,3.0,6.0,418187.0,807.0,50.0,857.0,20.09,0.72,204.93
2020-04-05,Clatsop,Oregon,41007,4.0,0.0,6.0,40224.0,,,,9.94,0.0,
2020-04-05,Columbia,Oregon,41009,6.0,0.0,6.0,52354.0,,,,11.46,0.0,
2020-04-05,Crook,Oregon,41013,1.0,0.0,6.0,24404.0,,,,4.1,0.0,
2020-04-05,Deschutes,Oregon,41017,39.0,0.0,6.0,197692.0,,,,19.73,0.0,
2020-04-05,Douglas,Oregon,41019,11.0,0.0,6.0,110980.0,,,,9.91,0.0,
2020-04-05,Grant,Oregon,41023,1.0,0.0,6.0,7199.0,,,,13.89,0.0,
2020-04-05,Hood River,Oregon,41027,2.0,0.0,6.0,23382.0,,,,8.55,0.0,
2020-04-05,Jackson,Oregon,41029,33.0,0.0,6.0,220944.0,,,,14.94,0.0,
2020-04-05,Josephine,Oregon,41033,13.0,0.0,6.0,87487.0,,,,14.86,0.0,
2020-04-05,Klamath,Oregon,41035,15.0,0.0,6.0,68238.0,,,,21.98,0.0,
2020-04-05,Lane,Oregon,41039,27.0,1.0,6.0,382067.0,,,,7.07,0.26,
2020-04-05,Lincoln,Oregon,41041,4.0,0.0,6.0,49962.0,,,,8.01,0.0,
2020-04-05,Linn,Oregon,41043,43.0,2.0,6.0,129749.0,,,,33.14,1.54,
2020-04-05,Malheur,Oregon,41045,2.0,0.0,6.0,30571.0,,,,6.54,0.0,
2020-04-05,Marion,Oregon,41047,198.0,5.0,6.0,347818.0,,,,56.93,1.44,
2020-04-05,Morrow,Oregon,41049,2.0,0.0,6.0,11603.0,,,,17.24,0.0,
